Duraciacion_del_viaje;Total;Año;Meses_num;Meses
Ninguna noche;17.476.868,00;2020;12;diciembre
1 noche;1.307.881,00;2020;12;diciembre
De 2 a 3 noches;3.283.671,00;2020;12;diciembre
De 4 a 7 noches;8.251.087,00;2020;12;diciembre
De 8 a 15 noches;4.125.222,00;2020;12;diciembre
mas de 15 noches;1.965.242,00;2020;12;diciembre
Ninguna noche;16.551.709,00;2020;11;noviembre
1 noche;1.212.104,00;2020;11;noviembre
De 2 a 3 noches;3.189.808,00;2020;11;noviembre
De 4 a 7 noches;8.014.564,00;2020;11;noviembre
De 8 a 15 noches;4.012.018,00;2020;11;noviembre
mas de 15 noches;1.855.620,00;2020;11;noviembre
Ninguna noche;16.008.247,00;2020;10;octubre
1 noche;1.166.093,00;2020;10;octubre
De 2 a 3 noches;3.116.201,00;2020;10;octubre
De 4 a 7 noches;7.854.408,00;2020;10;octubre
De 8 a 15 noches;3.904.849,00;2020;10;octubre
mas de 15 noches;1.785.750,00;2020;10;octubre
Ninguna noche;14.347.121,00;2020;9;septiembre
1 noche;1.057.982,00;2020;9;septiembre
De 2 a 3 noches;2.941.915,00;2020;9;septiembre
De 4 a 7 noches;7.443.625,00;2020;9;septiembre
De 8 a 15 noches;3.704.268,00;2020;9;septiembre
mas de 15 noches;1.658.736,00;2020;9;septiembre
Ninguna noche;12.471.013,00;2020;8;agosto
1 noche;914.977,00;2020;8;agosto
De 2 a 3 noches;2.736.019,00;2020;8;agosto
De 4 a 7 noches;7.063.339,00;2020;8;agosto
De 8 a 15 noches;3.452.980,00;2020;8;agosto
mas de 15 noches;1.500.343,00;2020;8;agosto
Ninguna noche;9.557.222,00;2020;7;julio
1 noche;757.243,00;2020;7;julio
De 2 a 3 noches;2.494.345,00;2020;7;julio
De 4 a 7 noches;6.136.407,00;2020;7;julio
De 8 a 15 noches;2.686.761,00;2020;7;julio
mas de 15 noches;1.151.923,00;2020;7;julio
Ninguna noche;7.258.520,00;2020;6;junio
1 noche;626.876,00;2020;6;junio
De 2 a 3 noches;2.196.493,00;2020;6;junio
De 4 a 7 noches;5.098.102,00;2020;6;junio
De 8 a 15 noches;1.933.921,00;2020;6;junio
mas de 15 noches;906.510,00;2020;6;junio
Ninguna noche;6.806.611,00;2020;5;mayo
1 noche;610.193,00;2020;5;mayo
De 2 a 3 noches;2.144.191,00;2020;5;mayo
De 4 a 7 noches;5.020.716,00;2020;5;mayo
De 8 a 15 noches;1.895.620,00;2020;5;mayo
mas de 15 noches;886.909,00;2020;5;mayo
Ninguna noche;6.806.611,00;2020;4;abril
1 noche;610.193,00;2020;4;abril
De 2 a 3 noches;2.144.191,00;2020;4;abril
De 4 a 7 noches;5.020.716,00;2020;4;abril
De 8 a 15 noches;1.895.620,00;2020;4;abril
mas de 15 noches;886.909,00;2020;4;abril
Ninguna noche;6.806.611,00;2020;3;marzo
1 noche;610.193,00;2020;3;marzo
De 2 a 3 noches;2.144.191,00;2020;3;marzo
De 4 a 7 noches;5.020.716,00;2020;3;marzo
De 8 a 15 noches;1.895.620,00;2020;3;marzo
mas de 15 noches;886.909,00;2020;3;marzo
Ninguna noche;5.471.837,00;2020;2;febrero
1 noche;496.724,00;2020;2;febrero
De 2 a 3 noches;1.709.417,00;2020;2;febrero
De 4 a 7 noches;4.062.008,00;2020;2;febrero
De 8 a 15 noches;1.572.317,00;2020;2;febrero
mas de 15 noches;719.902,00;2020;2;febrero
Ninguna noche;2.724.766,00;2020;1;enero
1 noche;253.786,00;2020;1;enero
De 2 a 3 noches;770.611,00;2020;1;enero
De 4 a 7 noches;1.817.996,00;2020;1;enero
De 8 a 15 noches;887.120,00;2020;1;enero
mas de 15 noches;403.511,00;2020;1;enero
Ninguna noche;42.660.933,00;2019;12;diciembre
1 noche;4.220.546,00;2019;12;diciembre
De 2 a 3 noches;15.486.323,00;2019;12;diciembre
De 4 a 7 noches;39.692.993,00;2019;12;diciembre
De 8 a 15 noches;18.819.043,00;2019;12;diciembre
mas de 15 noches;5.290.248,00;2019;12;diciembre
Ninguna noche;39.630.113,00;2019;11;noviembre
1 noche;3.945.339,00;2019;11;noviembre
De 2 a 3 noches;14.519.207,00;2019;11;noviembre
De 4 a 7 noches;37.711.237,00;2019;11;noviembre
De 8 a 15 noches;18.090.981,00;2019;11;noviembre
mas de 15 noches;4.937.648,00;2019;11;noviembre
Ninguna noche;36.678.992,00;2019;10;octubre
1 noche;3.661.542,00;2019;10;octubre
De 2 a 3 noches;13.423.989,00;2019;10;octubre
De 4 a 7 noches;35.542.360,00;2019;10;octubre
De 8 a 15 noches;17.279.414,00;2019;10;octubre
mas de 15 noches;4.642.087,00;2019;10;octubre
Ninguna noche;33.232.194,00;2019;9;septiembre
1 noche;3.243.899,00;2019;9;septiembre
De 2 a 3 noches;11.984.348,00;2019;9;septiembre
De 4 a 7 noches;31.897.768,00;2019;9;septiembre
De 8 a 15 noches;15.655.638,00;2019;9;septiembre
mas de 15 noches;4.179.990,00;2019;9;septiembre
Ninguna noche;29.378.466,00;2019;8;agosto
1 noche;2.824.750,00;2019;8;agosto
De 2 a 3 noches;10.446.346,00;2019;8;agosto
De 4 a 7 noches;27.696.388,00;2019;8;agosto
De 8 a 15 noches;13.470.532,00;2019;8;agosto
mas de 15 noches;3.678.474,00;2019;8;agosto
Ninguna noche;23.340.944,00;2019;7;julio
1 noche;2.280.567,00;2019;7;julio
De 2 a 3 noches;9.344.097,00;2019;7;julio
De 4 a 7 noches;23.317.475,00;2019;7;julio
De 8 a 15 noches;10.210.464,00;2019;7;julio
mas de 15 noches;2.845.522,00;2019;7;julio
Ninguna noche;18.679.276,00;2019;6;junio
1 noche;1.846.507,00;2019;6;junio
De 2 a 3 noches;8.017.720,00;2019;6;junio
De 4 a 7 noches;18.837.576,00;2019;6;junio
De 8 a 15 noches;7.231.443,00;2019;6;junio
mas de 15 noches;2.191.607,00;2019;6;junio
Ninguna noche;15.207.214,00;2019;5;mayo
1 noche;1.494.420,00;2019;5;mayo
De 2 a 3 noches;6.218.531,00;2019;5;mayo
De 4 a 7 noches;14.520.177,00;2019;5;mayo
De 8 a 15 noches;5.292.074,00;2019;5;mayo
mas de 15 noches;1.765.759,00;2019;5;mayo
Ninguna noche;11.762.709,00;2019;4;abril
1 noche;1.139.980,00;2019;4;abril
De 2 a 3 noches;4.500.815,00;2019;4;abril
De 4 a 7 noches;10.463.580,00;2019;4;abril
De 8 a 15 noches;3.847.821,00;2019;4;abril
mas de 15 noches;1.419.560,00;2019;4;abril
Ninguna noche;8.186.851,00;2019;3;marzo
1 noche;809.194,00;2019;3;marzo
De 2 a 3 noches;3.135.701,00;2019;3;marzo
De 4 a 7 noches;6.654.224,00;2019;3;marzo
De 8 a 15 noches;2.550.035,00;2019;3;marzo
mas de 15 noches;1.076.570,00;2019;3;marzo
Ninguna noche;5.193.260,00;2019;2;febrero
1 noche;495.347,00;2019;2;febrero
De 2 a 3 noches;1.836.366,00;2019;2;febrero
De 4 a 7 noches;3.912.455,00;2019;2;febrero
De 8 a 15 noches;1.618.707,00;2019;2;febrero
mas de 15 noches;713.271,00;2019;2;febrero
Ninguna noche;2.589.024,00;2019;1;enero
1 noche;216.604,00;2019;1;enero
De 2 a 3 noches;844.199,00;2019;1;enero
De 4 a 7 noches;1.799.493,00;2019;1;enero
De 8 a 15 noches;926.266,00;2019;1;enero
mas de 15 noches;409.080,00;2019;1;enero
Ninguna noche;41.647.253,00;2018;12;diciembre
1 noche;4.415.509,00;2018;12;diciembre
De 2 a 3 noches;14.606.759,00;2018;12;diciembre
De 4 a 7 noches;38.786.818,00;2018;12;diciembre
De 8 a 15 noches;19.484.451,00;2018;12;diciembre
mas de 15 noches;5.514.877,00;2018;12;diciembre
Ninguna noche;38.770.598,00;2018;11;noviembre
1 noche;4.136.044,00;2018;11;noviembre
De 2 a 3 noches;13.582.575,00;2018;11;noviembre
De 4 a 7 noches;36.854.398,00;2018;11;noviembre
De 8 a 15 noches;18.751.341,00;2018;11;noviembre
mas de 15 noches;5.129.258,00;2018;11;noviembre
Ninguna noche;36.066.462,00;2018;10;octubre
1 noche;3.891.737,00;2018;10;octubre
De 2 a 3 noches;12.532.534,00;2018;10;octubre
De 4 a 7 noches;34.747.548,00;2018;10;octubre
De 8 a 15 noches;17.909.246,00;2018;10;octubre
mas de 15 noches;4.835.677,00;2018;10;octubre
Ninguna noche;32.562.857,00;2018;9;septiembre
1 noche;3.517.930,00;2018;9;septiembre
De 2 a 3 noches;11.096.173,00;2018;9;septiembre
De 4 a 7 noches;31.025.853,00;2018;9;septiembre
De 8 a 15 noches;16.212.539,00;2018;9;septiembre
mas de 15 noches;4.414.387,00;2018;9;septiembre
Ninguna noche;28.691.545,00;2018;8;agosto
1 noche;3.053.039,00;2018;8;agosto
De 2 a 3 noches;9.627.800,00;2018;8;agosto
De 4 a 7 noches;26.895.667,00;2018;8;agosto
De 8 a 15 noches;13.886.551,00;2018;8;agosto
mas de 15 noches;3.871.518,00;2018;8;agosto
Ninguna noche;22.745.530,00;2018;7;julio
1 noche;2.487.879,00;2018;7;julio
De 2 a 3 noches;8.519.842,00;2018;7;julio
De 4 a 7 noches;22.666.019,00;2018;7;julio
De 8 a 15 noches;10.474.741,00;2018;7;julio
mas de 15 noches;3.010.333,00;2018;7;julio
Ninguna noche;17.999.669,00;2018;6;junio
1 noche;1.960.768,00;2018;6;junio
De 2 a 3 noches;7.113.298,00;2018;6;junio
De 4 a 7 noches;18.250.266,00;2018;6;junio
De 8 a 15 noches;7.476.029,00;2018;6;junio
mas de 15 noches;2.338.206,00;2018;6;junio
Ninguna noche;14.773.242,00;2018;5;mayo
1 noche;1.534.572,00;2018;5;mayo
De 2 a 3 noches;5.645.035,00;2018;5;mayo
De 4 a 7 noches;14.010.070,00;2018;5;mayo
De 8 a 15 noches;5.502.661,00;2018;5;mayo
mas de 15 noches;1.891.924,00;2018;5;mayo
Ninguna noche;11.235.272,00;2018;4;abril
1 noche;1.113.029,00;2018;4;abril
De 2 a 3 noches;4.065.032,00;2018;4;abril
De 4 a 7 noches;9.927.538,00;2018;4;abril
De 8 a 15 noches;3.886.727,00;2018;4;abril
mas de 15 noches;1.505.888,00;2018;4;abril
Ninguna noche;7.714.111,00;2018;3;marzo
1 noche;752.909,00;2018;3;marzo
De 2 a 3 noches;2.688.947,00;2018;3;marzo
De 4 a 7 noches;6.469.812,00;2018;3;marzo
De 8 a 15 noches;2.619.847,00;2018;3;marzo
mas de 15 noches;1.186.319,00;2018;3;marzo
Ninguna noche;4.780.988,00;2018;2;febrero
1 noche;468.613,00;2018;2;febrero
De 2 a 3 noches;1.623.515,00;2018;2;febrero
De 4 a 7 noches;3.755.208,00;2018;2;febrero
De 8 a 15 noches;1.701.719,00;2018;2;febrero
mas de 15 noches;775.592,00;2018;2;febrero
Ninguna noche;2.383.273,00;2018;1;enero
1 noche;210.323,00;2018;1;enero
De 2 a 3 noches;704.943,00;2018;1;enero
De 4 a 7 noches;1.750.190,00;2018;1;enero
De 8 a 15 noches;1.005.572,00;2018;1;enero
mas de 15 noches;435.573,00;2018;1;enero
Ninguna noche;39.848.764,00;2017;12;diciembre
1 noche;4.078.375,00;2017;12;diciembre
De 2 a 3 noches;14.235.659,00;2017;12;diciembre
De 4 a 7 noches;38.057.347,00;2017;12;diciembre
De 8 a 15 noches;19.697.307,00;2017;12;diciembre
mas de 15 noches;5.799.834,00;2017;12;diciembre
Ninguna noche;36.893.521,00;2017;11;noviembre
1 noche;3.832.648,00;2017;11;noviembre
De 2 a 3 noches;13.351.063,00;2017;11;noviembre
De 4 a 7 noches;36.246.290,00;2017;11;noviembre
De 8 a 15 noches;19.030.768,00;2017;11;noviembre
mas de 15 noches;5.425.222,00;2017;11;noviembre
Ninguna noche;34.312.476,00;2017;10;octubre
1 noche;3.568.635,00;2017;10;octubre
De 2 a 3 noches;12.444.214,00;2017;10;octubre
De 4 a 7 noches;34.235.551,00;2017;10;octubre
De 8 a 15 noches;18.173.857,00;2017;10;octubre
mas de 15 noches;5.071.159,00;2017;10;octubre
Ninguna noche;31.046.593,00;2017;9;septiembre
1 noche;3.242.813,00;2017;9;septiembre
De 2 a 3 noches;11.085.481,00;2017;9;septiembre
De 4 a 7 noches;30.763.155,00;2017;9;septiembre
De 8 a 15 noches;16.522.226,00;2017;9;septiembre
mas de 15 noches;4.609.812,00;2017;9;septiembre
Ninguna noche;27.548.901,00;2017;8;agosto
1 noche;2.805.938,00;2017;8;agosto
De 2 a 3 noches;9.661.379,00;2017;8;agosto
De 4 a 7 noches;26.619.628,00;2017;8;agosto
De 8 a 15 noches;14.160.678,00;2017;8;agosto
