Duración del viaje;Periodo;Total
Ninguna noche;2020M12;17.476.868,00
1 noche;2020M12;1.307.881,00
De 2 a 3 noches;2020M12;3.283.671,00
De 4 a 7 noches;2020M12;8.251.087,00
De 8 a 15 noches;2020M12;4.125.222,00
Más de 15 noches;2020M12;1.965.242,00
Ninguna noche;2020M11;16.551.709,00
1 noche;2020M11;1.212.104,00
De 2 a 3 noches;2020M11;3.189.808,00
De 4 a 7 noches;2020M11;8.014.564,00
De 8 a 15 noches;2020M11;4.012.018,00
Más de 15 noches;2020M11;1.855.620,00
Ninguna noche;2020M10;16.008.247,00
1 noche;2020M10;1.166.093,00
De 2 a 3 noches;2020M10;3.116.201,00
De 4 a 7 noches;2020M10;7.854.408,00
De 8 a 15 noches;2020M10;3.904.849,00
Más de 15 noches;2020M10;1.785.750,00
Ninguna noche;2020M09;14.347.121,00
1 noche;2020M09;1.057.982,00
De 2 a 3 noches;2020M09;2.941.915,00
De 4 a 7 noches;2020M09;7.443.625,00
De 8 a 15 noches;2020M09;3.704.268,00
Más de 15 noches;2020M09;1.658.736,00
Ninguna noche;2020M08;12.471.013,00
1 noche;2020M08;914.977,00
De 2 a 3 noches;2020M08;2.736.019,00
De 4 a 7 noches;2020M08;7.063.339,00
De 8 a 15 noches;2020M08;3.452.980,00
Más de 15 noches;2020M08;1.500.343,00
Ninguna noche;2020M07;9.557.222,00
1 noche;2020M07;757.243,00
De 2 a 3 noches;2020M07;2.494.345,00
De 4 a 7 noches;2020M07;6.136.407,00
De 8 a 15 noches;2020M07;2.686.761,00
Más de 15 noches;2020M07;1.151.923,00
Ninguna noche;2020M06;7.258.520,00
1 noche;2020M06;626.876,00
De 2 a 3 noches;2020M06;2.196.493,00
De 4 a 7 noches;2020M06;5.098.102,00
De 8 a 15 noches;2020M06;1.933.921,00
Más de 15 noches;2020M06;906.510,00
Ninguna noche;2020M05;6.806.611,00
1 noche;2020M05;610.193,00
De 2 a 3 noches;2020M05;2.144.191,00
De 4 a 7 noches;2020M05;5.020.716,00
De 8 a 15 noches;2020M05;1.895.620,00
Más de 15 noches;2020M05;886.909,00
Ninguna noche;2020M04;6.806.611,00
1 noche;2020M04;610.193,00
De 2 a 3 noches;2020M04;2.144.191,00
De 4 a 7 noches;2020M04;5.020.716,00
De 8 a 15 noches;2020M04;1.895.620,00
Más de 15 noches;2020M04;886.909,00
Ninguna noche;2020M03;6.806.611,00
1 noche;2020M03;610.193,00
De 2 a 3 noches;2020M03;2.144.191,00
De 4 a 7 noches;2020M03;5.020.716,00
De 8 a 15 noches;2020M03;1.895.620,00
Más de 15 noches;2020M03;886.909,00
Ninguna noche;2020M02;5.471.837,00
1 noche;2020M02;496.724,00
De 2 a 3 noches;2020M02;1.709.417,00
De 4 a 7 noches;2020M02;4.062.008,00
De 8 a 15 noches;2020M02;1.572.317,00
Más de 15 noches;2020M02;719.902,00
Ninguna noche;2020M01;2.724.766,00
1 noche;2020M01;253.786,00
De 2 a 3 noches;2020M01;770.611,00
De 4 a 7 noches;2020M01;1.817.996,00
De 8 a 15 noches;2020M01;887.120,00
Más de 15 noches;2020M01;403.511,00
Ninguna noche;2019M12;42.660.933,00
1 noche;2019M12;4.220.546,00
De 2 a 3 noches;2019M12;15.486.323,00
