Tipo_Transporte;Año;Total
3: Servicios de transporte de pasajeros por ferrocarril;2020;108,9
4: Servicios de transporte de pasajeros por carretera;2020;310,4
5: Servicios de transporte de pasajeros por agua;2020;48,9
6: Servicios de transporte aéreo de pasajeros;2020;1.424,30
7: Servicios de alquiler de equipos de transporte;2020;314,4
3: Servicios de transporte de pasajeros por ferrocarril;2019;600,9
4: Servicios de transporte de pasajeros por carretera;2019;1.365,20
5: Servicios de transporte de pasajeros por agua;2019;281,2
6: Servicios de transporte aéreo de pasajeros;2019;6.005,60
7: Servicios de alquiler de equipos de transporte;2019;1.456,60
3: Servicios de transporte de pasajeros por ferrocarril;2018;979,2
4: Servicios de transporte de pasajeros por carretera;2018;1.770,90
5: Servicios de transporte de pasajeros por agua;2018;333,1
6: Servicios de transporte aéreo de pasajeros;2018;6.034,50
7: Servicios de alquiler de equipos de transporte;2018;695,1
3: Servicios de transporte de pasajeros por ferrocarril;2017;1.045,40
4: Servicios de transporte de pasajeros por carretera;2017;1.816,70
5: Servicios de transporte de pasajeros por agua;2017;384,6
6: Servicios de transporte aéreo de pasajeros;2017;5.675,30
7: Servicios de alquiler de equipos de transporte;2017;684
3: Servicios de transporte de pasajeros por ferrocarril;2016;874,9
4: Servicios de transporte de pasajeros por carretera;2016;1.642,00
5: Servicios de transporte de pasajeros por agua;2016;329,6
6: Servicios de transporte aéreo de pasajeros;2016;4.886,90
7: Servicios de alquiler de equipos de transporte;2016;666
