Año;Meses;Canarias;Cataluña;Comunidad Valenciana;Islas Baleares;Comunidad de Madrid;Andalucía;;
2020;Enero;1101164;870157;433023;103772;611184;605451;;
2020;Febrero;1170238;966356;528712;185554;518594;626653;;
2020;Marzo;459546;399140;248509;115784;250316;298332;;
2020;Abril;0;0;0;0;0;0;;
2020;Mayo;0;0;0;0;0;0;;
2020;Junio;2201;76634;31487;28382;20522;14183;;
2020;Julio;215600;436742;383013;588431;76239;359725;;
2020;Agosto;240666;459271;430092;453794;60816;364111;;
2020;Septiembre;92586;276064;185256;119279;48123;179214;;
2020;Octubre;136896;230580;176971;84139;39575;143378;;
2020;Noviembre;160662;58794;53946;20102;32799;49227;;
2020;Diciembre;207064;97305;71865;22083;47885;60577;;1
2019;Enero;1158782;910329;413553;141922;584339;574761;;
2019;Febrero;1179673;1030292;459309;184351;499245;626983;;
2019;Marzo;1340619;1280871;648462;365813;683364;842934;;
2019;Abril;1105470;1671426;826158;1081557;640694;1131483;;
2019;Mayo;888777;1835129;857711;1701167;758323;1204749;;
2019;Junio;931782;2176726;938591;2065353;702026;1243394;;
2019;Julio;1031598;2378593;1243375;2344094;626031;1256656;;
2019;Agosto;1040312;2363331;1270706;2256991;542359;1403701;;
2019;Septiembre;952069;2011704;1011901;2006475;667799;1375342;;
2019;Octubre;1143699;1676430;870088;1224498;742086;1191120;;
2019;Noviembre;1173313;1047153;541121;182713;665927;614169;;
2019;Diciembre;1200768;993169;454520;124847;528787;557861;;
2018;Enero;1183486;864798;450874;119437;536137;538026;;
2018;Febrero;1192866;1015793;449519;156311;485810;579798;;
2018;Marzo;1347702;1217330;625460;401293;560178;787749;;
2018;Abril;1103003;1570899;769612;930679;631303;1044566;;
2018;Mayo;967209;1885365;910651;1708101;659045;1193716;;
2018;Junio;1001434;2104373;901232;2121434;603147;1168948;;
2018;Julio;1120219;2427842;1132280;2429816;619516;1327577;;
2018;Agosto;1098384;2433300;1175555;2297469;507079;1424410;;
2018;Septiembre;1039221;2007474;1005841;2031600;697128;1319350;;
2018;Octubre;1257744;1665215;861013;1284111;709987;1140163;;
2018;Noviembre;1184564;1034633;497041;188018;603691;604357;;
2018;Diciembre;1256190;969322;427830;183329;526753;552595;;
2017;Enero;1193435;846213;402914;107156;489884;522009;;
2017;Febrero;1183979;989198;429384;162771;450927;584543;;
2017;Marzo;1283939;1155003;526701;325442;478054;720603;;
2017;Abril;1255062;1755019;749885;998445;672738;1044661;;
2017;Mayo;993431;1920946;918843;1717352;624915;1176002;;
2017;Junio;1034652;2026356;873923;2101520;594801;1164980;;
2017;Julio;1186481;2557125;1217502;2484880;579523;1356267;;
2017;Agosto;1165967;2567612;1158902;2352198;530335;1422593;;
2017;Septiembre;1111400;1999689;982638;2009288;639120;1327059;;
2017;Octubre;1309652;1497032;812655;1256543;628904;1119427;;
2017;Noviembre;1239853;981462;452023;177426;534430;569632;;
2017;Diciembre;1256370;822765;400590;99275;476155;510486;;
2016;Noviembre;1162023;1009971;377912;152665;454904;548318;;
2016;Diciembre;1250412;956468;366649;101338;431820;495562;;
